"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-185214935615541","The Berliner Doner Kebab - 428 Westlake Ave N","Adjustment of O-185214935615541","QUALITY_COOKING - Refund requested by diner via help interaction","4/18/21","10:34 AM","-13.00","0","0.00","-1.33","0","-14.33","0","0","0","1.33","0"
"O-124215069947663","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/29/21","12:34 PM","24.50","0","0.00","2.51","0","27.01","-1.23","-2.45","-1.12","-2.51","0"
"O-292314929884558","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/15/21","1:01 PM","15.00","0","0.00","1.54","0","16.54","-0.75","-1.50","-0.80","-1.54","0"
"O-496415055196699","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/28/21","12:04 PM","13.00","0","0.00","1.33","0","14.33","-1.95","0","-0.74","-1.33","0"
"O-424614913711510","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/14/21","2:47 PM","30.50","0","0.00","3.13","5.04","38.67","-4.58","0","-1.48","-3.13","0"
"O-686214991381934","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/22/21","12:32 PM","13.00","0","0.00","1.33","0","14.33","-1.95","0","-0.74","-1.33","0"
"O-873514991288228","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/22/21","2:13 PM","13.50","0","0.00","1.38","0","14.88","-0.68","-1.35","-0.75","-1.38","0"
"O-407414858416932","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/7/21","6:26 PM","43.00","0","0.00","3.59","0","46.59","-2.15","-4.30","-1.48","-3.59","-8.00"
"O-615215042763693","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/27/21","12:27 PM","11.00","0","0.00","1.13","3.03","15.16","-1.65","0","-0.76","-1.13","0"
"O-358814798493358","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/2/21","11:45 AM","38.00","0","0.00","3.90","0","41.90","-1.90","-3.80","-1.52","-3.90","-1.99"
"O-247415038282229","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/26/21","12:05 PM","13.00","0","0.00","1.33","0","14.33","-0.65","-1.30","-0.74","-1.33","0"
"O-792114878283947","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/9/21","6:32 PM","26.50","0","0.00","2.72","2.92","32.14","-3.98","0","-1.28","-2.72","0"
"O-903714838972514","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/6/21","1:13 PM","24.50","0","0.00","2.51","0","27.01","-1.23","-2.45","-1.12","-2.51","0"
"O-397415074537671","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/30/21","12:12 PM","12.00","0","0.00","1.23","1.98","15.21","-1.80","0","-0.76","-1.23","0"
"O-976514794868474","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/2/21","1:02 PM","16.50","0","0.00","1.69","0","18.19","-0.83","-1.65","-0.85","-1.69","0"
