"TIMESTAMP_UTC_TIME","TIMESTAMP_UTC_DATE","TIMESTAMP_LOCAL_TIME","TIMESTAMP_LOCAL_DATE","PAYOUT_TIME","PAYOUT_DATE","STORE_ID","BUSINESS_ID","STORE_NAME","MERCHANT_STORE_ID","TRANSACTION_TYPE","TRANSACTION_ID","DOORDASH_ORDER_ID","MERCHANT_DELIVERY_ID","EXTERNAL_ID","DESCRIPTION","FINAL_ORDER_STATUS","CURRENCY","SUBTOTAL","TAX_SUBTOTAL","COMMISSION","COMMISSION_TAX_AMOUNT","MARKETING_FEES","STAFF_TIP","CREDIT","DEBIT","DOORDASH_TRANSACTION_ID","PAYOUT_ID","DRIVE_CHARGE","TAX_REMITTED_BY_DOORDASH_TO_STATE"
"03:27:37","2021-04-22","20:27:37","2021-04-21","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","9fe64dec-975d-40b6-8e82-6f099cb6735d","=""9cb6735d""","10342421","723bea5b-b927-449a-ad4d-0cb5bdd8460b","Order Received Time: 2021-04-22 02:14:09.914000000
Order Pickup Time: 2021-04-22 03:27:37.602556000","Picked Up","USD",23.50,0.00,3.53,0.00,0.00,1.00,20.97,0.00,"2166329070",139015617,0.00,2.41
"18:29:59","2021-04-22","11:29:59","2021-04-22","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","07438005-843e-4d42-88ac-5b4f5830db20","=""5830db20""","10354377","acdfd7c8-e14a-4a0d-a5a4-5662a8b47bb9","Order Received Time: 2021-04-22 18:13:05.508000000
Order Pickup Time: 2021-04-22 18:29:59.843576000","Delivered","USD",22.50,0.00,3.38,0.00,0.00,0.00,19.12,0.00,"2168146263",139015617,0.00,2.31
"19:05:55","2021-04-22","12:05:55","2021-04-22","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","19360bcd-91b3-4810-84e2-a154e81627fa","=""e81627fa""","10355286","694631fe-d397-4179-92af-63e95a09629a","Order Received Time: 2021-04-22 18:36:39.985000000
Order Pickup Time: 2021-04-22 19:05:55.604378000","Delivered","USD",11.00,0.00,1.65,0.00,0.00,0.00,9.35,0.00,"2168347624",139015617,0.00,1.13
"19:23:21","2021-04-22","12:23:21","2021-04-22","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","8bf1da9c-603f-4433-9143-d25674e42fdf","=""74e42fdf""","10355344","ebfe9a08-1ae5-47eb-8f8b-6c26c42a74ae","Order Received Time: 2021-04-22 18:38:13.047000000
Order Pickup Time: 2021-04-22 19:23:21.369347000","Picked Up","USD",26.50,0.00,0.00,0.00,0.00,0.00,26.50,0.00,"2168441204",139015617,0.00,2.72
"20:15:31","2021-04-22","13:15:31","2021-04-22","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","fd3f2306-3914-4cac-be4d-0f4e06121723","=""06121723""","10357863","3b46149f-8803-4657-b9c0-f8944675a0d8","Order Received Time: 2021-04-22 19:56:17.435000000
Order Pickup Time: 2021-04-22 20:15:31.821244000","Picked Up","USD",11.00,0.00,1.65,0.00,0.00,0.00,9.35,0.00,"2168710818",139015617,0.00,1.13
"20:45:55","2021-04-22","13:45:55","2021-04-22","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","0319b3f7-def9-417e-bc1f-ea3d4fad16bc","=""4fad16bc""","10357194","52ad9459-fc73-4712-b9ec-0f852d67ec3c","Order Received Time: 2021-04-22 19:34:22.732000000
Order Pickup Time: 2021-04-22 20:45:55.311403000","Picked Up","USD",12.00,0.00,1.80,0.00,0.00,1.98,12.18,0.00,"2168864650",139015617,0.00,1.23
"01:07:18","2021-04-23","18:07:18","2021-04-22","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","c44ab383-c1c6-46a9-aa70-ae0d1267a19d","=""1267a19d""","10369706","5cc60320-4d4f-4386-9f5b-ad8cec01ee7b","Order Received Time: 2021-04-22 23:55:10.180000000
Order Pickup Time: 2021-04-23 01:07:18.897187000","Picked Up","USD",23.00,0.00,3.45,0.00,0.00,0.00,19.55,0.00,"2170712046",139015617,0.00,2.36
"01:34:14","2021-04-23","18:34:14","2021-04-22","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","10952946-0d19-4c71-835b-bc3f21e18c2e","=""21e18c2e""","10374531","7d591ac4-246b-4be9-a55e-4ff5b76f56a5","Order Received Time: 2021-04-23 01:19:04.887000000
Order Pickup Time: 2021-04-23 01:34:14.267032000","Delivered","USD",30.50,0.00,3.83,0.00,5.99,0.00,20.68,0.00,"2170907481",139015617,0.00,2.61
"01:49:07","2021-04-23","18:49:07","2021-04-22","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","0a8fd5d5-1b43-4515-843c-fa0ec5fa5f2b","=""c5fa5f2b""","10375224","6d5592de-4a49-4a9b-8ed6-de5821825db9","Order Received Time: 2021-04-23 01:34:10.384000000
Order Pickup Time: 2021-04-23 01:49:07.264429000","Delivered","USD",38.00,0.00,4.95,0.00,5.99,0.00,27.06,0.00,"2171008186",139015617,0.00,3.38
"02:55:32","2021-04-23","19:55:32","2021-04-22","2021-04-29 09:02:17.765060000","2021-04-29",883572,396694,"The Berliner Döner Kebab (Westlake Ave N)","NULL","DELIVERY","ff6c502d-637d-4920-b13e-73c6edfc5d3d","=""edfc5d3d""","10377174","bce0a96c-4ae8-4f9c-bb4b-2ab76e8c2b72","Order Received Time: 2021-04-23 02:24:43.175000000
Order Pickup Time: 2021-04-23 02:55:32.839758000","Delivered","USD",12.00,0.00,1.80,0.00,0.00,0.00,10.20,0.00,"2171385318",139015617,0.00,1.23
