Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
The Berliner Doner Kebab,,#A26FF,ccd153bd-760a-4b5f-8abd-c5b9549a26ff,Delivery - Partner Using Uber App,iOS,Completed,2021-05-06,13:28,15.25,1.55,16.8,0,0,0,0,0,0,0,0,16.8,-2.29,0,0,0,0,0,,0,-1.55,0,12.96,2021-05-10,0,0,15
The Berliner Doner Kebab,,#135EE,5d256ce8-2218-4a74-87d2-5a7d7d2135ee,Delivery - Partner Using Uber App,iOS,Completed,2021-05-06,16:47,13,1.33,14.33,0,0,0,0,0,0,0,0,14.33,-1.95,0,0,0,0,0,,0,-1.33,0,11.05,2021-05-10,0,0,15
The Berliner Doner Kebab,,#D4531,6c91a2ce-8a64-46b0-b45a-0d8ebf3d4531,Delivery - Partner Using Uber App,iOS,Completed,2021-05-06,16:45,24,2.47,26.47,0,0,0,0,0,0,0,0,26.47,-3.6,0,0,0,0,0,,0,-2.47,0,20.4,2021-05-10,0,0,15
The Berliner Doner Kebab,,#AF381,4b8eca4d-819f-4634-ae88-896f051af381,Pickup,Android,Completed,2021-05-06,16:28,13,1.33,14.33,0,0,0,0,0,0,0,0,14.33,0,0,0,0,0,0,,0,-1.33,0,13,2021-05-10,0,0,
The Berliner Doner Kebab,,#E076A,3d5abdaa-a746-4d11-9588-439f7a5e076a,Delivery - Partner Using Uber App,Android,Completed,2021-05-06,18:42,14,1.43,15.43,0,0,0,0,0,0,0,0,15.43,-2.1,0,0,0,0,0,,0,-1.43,0,11.9,2021-05-10,0,0,15
The Berliner Doner Kebab,,#2D939,c72c6193-49e8-4210-9a08-07d74b22d939,Delivery - Partner Using Uber App,iOS,Completed,2021-05-07,11:05,15.25,1.56,16.81,0,0,0,0,0,0,0,0,16.81,-2.29,0,0,0,0,0,,0,-1.56,0,12.96,2021-05-10,0,0,15
The Berliner Doner Kebab,,#012B0,61783674-6077-4da8-924e-04c9b82012b0,Delivery - Partner Using Uber App,iOS,Completed,2021-05-07,11:43,14.25,1.47,15.72,0,0,0,0,0,0,0,0,15.72,-2.14,0,0,0,0,0,,0,-1.47,0,12.11,2021-05-10,0,0,15
The Berliner Doner Kebab,,#71550,5a11e54e-85fb-48e3-94f2-ca20abb71550,Delivery - Partner Using Uber App,iOS,Completed,2021-05-07,11:35,27,2.77,29.77,0,0,0,0,0,0,0,0,29.77,-4.05,0,0,0,0,0,,0,-2.77,0,22.95,2021-05-10,0,0,15
The Berliner Doner Kebab,,#571D6,07036e74-7d97-4d53-bd92-6597ec5571d6,Delivery - Partner Using Uber App,iOS,Completed,2021-05-07,13:57,15.25,1.56,16.81,0,0,0,0,0,0,0,0,16.81,-2.29,0,0,0,0,0,,0,-1.56,0,12.96,2021-05-10,0,0,15
The Berliner Doner Kebab,,#4178B,42f821e7-9f79-4013-b40d-4509b764178b,Pickup,iOS,Completed,2021-05-07,14:07,22,2.26,24.26,0,0,0,0,0,0,0,0,24.26,0,0,0,0,0,0,,0,-2.26,0,22,2021-05-10,0,0,
The Berliner Doner Kebab,,#67D55,307594ba-9924-4dee-986b-69c0a8267d55,Pickup,Android,Completed,2021-05-07,15:50,14,1.44,15.44,0,0,0,0,0,0,0,0,15.44,0,0,0,0,0,0,,0,-1.44,0,14,2021-05-10,0,0,
